essay_id_comp,prompt_name,full_text,rater1_domain1,rater2_domain1,domain1_score,holistic_essay_score
14844,6,"The Empire State Building's docking zone was a magnificent and novel idea when it was first concieved but it was too difficult to implement. Al Smith, who spearheaded the operation, was too over anxious to complete it. Since not enough time was devoted to researching the risk's and structure of the dock, the plan to mount it on top the Empire State Building was already a failure.       Before the construction even began, trouble started to brew. The building couldn't withstand the stress of the @DATE1 foot long dirigible. The shock to the building would have transmitted tremendous pressure to the foundation. So the roof would have to be re-done in order for it to be structurally sound. After many months and @NUM1 dollars, the creation of the landing dock could begin.       Life is precious, and the landing dock was too volatile and dangerous to be used. The architects overlooked the fact that most foreign ones were made of hydrogen not helium. Hydrogen is extremely Flammable. In @LOCATION1, the Hindenburg, which was constructed using hydrogen caught aflame and killed hundreds. There was even a law stating that aircraft could not be suspended so close to an urban area. The idea was ostentatious and showy but because it was rushed, precautions were not taken into account. The obstacles that faced the docking station were too much, so finally the plan to erect it was abandoned.",3,3,3,3
14847,6,"The builders of the Empire State Building faced many obstacles in their attempts to allow dirigibles to dock at the mooring mast. Al Smith was the architect, and man behind the idea of the Empire State building. He and the maker of the Chrysler building were competing against eachother to construct the world's tallest building. To make the Empire State building bigger than the Chrysler building, Smith was going to construct somthing that John Tauranac stated, ""Would be equipped for an age of transportation that was only the dream of aviation pioneers"". That dream was to travel by blimp. The Empire State Building was going to have a mooring mast at its top for the dock of air ships. It was not going to be as easy as the concept. The architects couldn't drop a mooring mass on the roof because it would stress the buildings frame. The greatest reason the mast would never fufill its destiny was for safety. The excerpt states, ""Most derigibles used hydrogen"". Hydrogen is flammable. There was also a law that was, ""against air ships flying too low over urban areas"". After numberous attempts and modifications, the idea was shelved.",2,3,3,3
14850,6,"In Marcia Amidon Luested's excerpt, The Mooring Mast, many obstacles had the engineers of the Empire state building looking for a new way to dock dirigibles. One obstacle they had to face was the steel work of the building. The pressure of the wind and the dirigibles load had cost the company @MONEY1. Secondly, they had to design a few special floors for the passengers of the dirigibles. One floor would be for baggage and suitcases while a special observation deck was set up for passengers to exit or enter the ship. Lastly, the building would now be 102 floors and would need to be very durable so special materials were needed to be brought in and used to create the building. All in all, the Empire State Building engineers had to overcome many obstacles when constructing the 1,250 ft. building.",1,1,1,1
14852,6,"The first obstacle that it faced with having to reconstruct the body frame so that it could support the mooring mast, The second is that dirigibles from other country's used hydrogen, wich is highly flammable, instead of helium. The third reason wich should have been apparent from the start was a law against airships flying too low over urban areas. The last reason is the wind conditions at that hight made it impossible for the dirigibles to land there without the tail and swaying in the wind.",3,2,3,3
14857,6,"The builders of the Empire State Building faced difficult circumstances and many obstacles during the task of designing a brand new Empire State Building to accompany this new means of travel. The builder's mission was to design the top of the Empire State Building to accommodate the mooring of blimps over one thousand feet in the air. The first obstacle was designing a landing area. This was difficult because the architecture needed had never before been created or even attempted in the past. A second obstacle was having to make sure the Empire State Building could withstand the stress created by the blimp. Paragraph @NUM1 says ""The stress of the dirigibles load and the wind pressure would have to be transmitted all the way to the building's foundation."" The difficulty with this obstacle was having to refurbish the steel frame at the Empire State Building which took lots of time, work, and over sixty thousand dollars. ""The greatest obstacles to successful mooring was nature itself."" There were violent wind currents at the top of the building and the blimps were never very stable. There were many pedestrians under a moored dirigible so this was a very dangerous obstacle. Lastly, the pre existing laws of airships flying the low over urban areas posed a new problem. even with successful architecture, laws disallowed the blimps in the first place! Planes were also becoming more popular.",4,4,4,3
14862,6,"Based on the excerpt ""The Mooring Mast"" by Marcia Amidon Luested, there was many obstacles that the builders of the Empire State Building faced with allowing diriibles to land there. One of the obstacles were the safety problems. The drigibles had to come close enough to the Empire State building so they could be able to tie the dirible down. This put the diribles too close to the people. There was a law that that stated that airships can't fly to low to urban areas. There was a disaster that happened in Lakehurst, New Jersey that they were trying to prevent from happening in New York (paragraph @NUM1). Another problem with that builders faced was that the strong winds of nature did not allow diribles to get close enough to tie down to the mast. There were many obstacles builders had to face that at the end it was not worth making the Empire state building a dirible dock.",3,3,3,3
14868,6,"The builders of the Empire State Building faced many obstacles in attempting to allow dirigibles to dock there. Although the builders thought it to be a brilliant idea, they did not carefully consider the safety hazards they may have encountered, and how unrealistic the idea truly was. One of the greatest reasons the mooring mast was destined to be unable to fulfill its purpose was because of safety concerns. In paragraph @NUM1 it states ""Most dirigibles from outside of the United States used hydrogen... and hydrogen is highly flammable."" When a dirigible was destroyed by fire in New Jersey, the owners of the Empire State building realized how much worse an accident like that would be if it occurred over a place as densely populated as downtown New York. Another very practical reason why dirigibles could not moor at the top of the building was, as stated in paragraph @NUM2, ""there was an existing law against airships flying too low over urban areas."" That would make it impossible for a dirigible to even approach the area, let alone be able to tie up to the building. It is very apparent that the builders of the Empire State Building faced many issues in the attempt.",3,2,3,3
14872,6,"Although Al Smith had expected the mooring mast of the Empire State Building to be unique and practical, builders faced many obstacles in attempting to allow dirigibles to dock there. First, in order for the building to accommodate the stress that the dirigibles would add to the building's frame, the framework of the building had to be modified. This cost over sixty thousand dollars. In addition, dirigibles used hydrogen-a highly flammable gas. An accident could be fatal in a densely-populated area like New York City. Also, there were violent winds at the top of the building that would making docking difficult and could possibly blow a dirigible into the side of the building, causing it to be punctured. Finally, an existing law prohibited airships from flying to low over urban areas; it would be illegal for a ship even to approach the building's area.",3,3,3,3
14881,6,"The builders of the Empire State Building faced many obstacles in attempting to allow dirigibles to dock there. One obstacle was modifying and strengthening the frame of the building. It says that ""over @NUM1 thousand dollar's worth of modifications had to be made to the building's framework"" in order to accommodate dirigibles. However, after the modifications were made, the builders had to face another set of obstacles, more serious than before. the first one was ""safety"": the destruction of the Hindenburg in @LOCATION3 raised fear for a densely populated area such as New York. Another obstacle was ""nature""; the strong winds and violent air currents on the top of the Empire State Building made dirigibles ""neither practical nor safe"". the third obstacle was ""an existing law against airships flying to low over urban areas"". this law made it ""illegal for a ship to ever tie up to the building or even approach the area."" the Los Angeles and Columbia dirigibles attempted a few things, but unsuccessfully, and the idea of dirigibles disappeared by the late 1930's. these are the obstacles that the builders faced in attempting dirigibles to dock on the Empire state building.",4,4,4,3
14887,6,"Thraghat The process of attempting to allow dirigibles to dock on the Empire state building the builders faced many obstacles. The first obstacle that the bilders faced when attempting to allow dirigibles to dock there occurred in the actual ""building"" process. Because the mast wald add to much stress to the frame of the building if simply attached to its flat roof, the buldas had to reconstruct the steel frame of the building in order to safely place the mast on top, a very expensive and time consuming project. Another obstacle that the builders faced when attempting to allow dirigibles to dock on the Empire state building had to to with nature itself. Because the winds on top of the building were constantly shifting the back of the ship wald swivel around the mooring mast which was very unsafe. The laws against airships flying too low over urban areas also proved to be an obstacle because the Ships would never be able to actually approach the area. In conclusion, the builders faced many obstacles during construction for the dirigibles.",3,3,3,3
