essay_id_comp,prompt_name,full_text,rater1_domain1,rater2_domain1,domain1_score,holistic_essay_score
17838,7,"I going to write about a time when I went to the @ORGANIZATION1 fair, we had fun, we saw a ride we wanted to get on, so we got in line. Suddenly, we noticed that we were at the end of the line. So my mother said. @CAPS1 get on another ride then"". We already tried the other rides,"" my father said. So we stayed at the end of the line until it was our turn, and said that was the last ride, soon there were people behind us complaining, their younger children was getting mad, and parents was hollering. We just stood there, and kept being patient. That didn't desterb us. since we were raised to be patient, and wait our turn at things. I feel being patient is very important, because if you act up in line, you might make people think they're holding you up, but it's the line moving slow. Advice: when you are waiting at the end of the line, don't shout, scream, holler, or yell at anyone, it only creates trouble. Just don't think about all of the people ahead of you, talk to someone, just take your mind off of it for a while, then you'll notice, the line is moving quicker than you expected. P.S. We enjoyed the ride.""",8,9,17,0.5666666666666667
17845,7,"You know that life is so much harder when you don't have the patients. If you don't then I'm going to tell you why. There was a time that found out I was going to @LOCATION1 now that's the good part but when I ask ""how are we getting there?"" we had to fly and right then and there I knew I was going to have to be very patient and I thought I didn't have enough patients to fly to @LOCATION1. Although I got through it. Now the worst thing was when I got to @LOCATION1 it was very hot out. We had to stand outside to wait for the bus. It got so hot that I lost all my patients and got so angry at everyone that I thought I was going to blow up! Only because I didn't want to wait for the ride anymore. Haha I came to my sences and I start out it was why easier to wait and the bus eventaly showed up and I already felt way better.",8,8,16,0.5333333333333333
17847,7,"A time I was patient was @DATE1, when I was in line to ride the dragster in @CAPS1 point. I was super hot day, I was at @CAPS1 point with my best friend and we were geting ready to get on the dragster. The line is about an hour long and the sun is beating down on you so to me it felt like forever. Just as we were about to go on the ride they steped us because the ride wasen't working right. So we had to wait another @NUM1 mins. Luckly my best firend and I had good patients unlike some of the other people who stormed out of there in the first five minutes. We waited and got on the ride and it was one of the most fun experences of my life. I'm so happy we waited"" said @PERSON1 my best firend. Some people have patient like  @PERSON1 and I, and some don't like the the people who ran of there. I'm glade we waited or that would not have happened. In this case patient was a great thing for @PERSON1 and I.""",9,8,17,0.5666666666666667
17851,7,"Tick, tock, tick, tock. Being patient is hard for some people but easy for others. I'm not a very patient person. I'll tell about a time when I was patient. (the only time) One time me my mom and my sister we went to the docter because my sister had a docters appointment. I asked my mom how long it was gonna be and she said about @NUM1 min."" @CAPS1 I said ok. @CAPS1 we arrived and she asked if I wanted to come inside and I said no I'll wait in the car. @CAPS1 I was inside of the car waiting and I got boare  and turned  the music on and this was ??? about @NUM2 or @NUM3 in. About @NUM4 later I got tired of listening to music. @CAPS1 I tried to fall asleep. That didn't work @CAPS1 I went outside to stretch because my arms and legs were tight. It was @NUM5 and my mom and sister come walking. Thats a time I was patient.""",8,8,16,0.5333333333333333
17868,7,"Patience is when you are waiting for something to happen and you experience difficulties but you do not complain. My friend @PERSON2 is a patient person. Her and her brother are both very patient. Their dad has been gone for most of their lives fighting for our country. This is the story of the time @PERSON2 and her brother @PERSON1 were patient. When @PERSON1 was born his dad was @NUM1 years old. @PERSON1 dad had already applied fro the army. His dad has been their most of his life. Two years later @CAPS1 sister, my best friend was born. Their dad was with them til @CAPS2 exie was about @NUM2 I believe, but he left that year. @PERSON1 new why his dad was gone, but @PERSON2 is about a year behind because she has really bad A.D.H.D. so doesn't know why she didn't see or talk to her dad for about three years. When she turned about six years old she knew her dad was gone and that was the time @PERSON1 became to be in the in the army and also it was the time their dad was in the leg by a machete. When their came back for about a year, they spent a lot of time with him, and @PERSON2 is very fragile and he would try play with her and tickle her and it hurt @PERSON2 and she would scream @CAPS3! @CAPS3!"" but it didn't work he would just keep going and acting like he didn't hear her. @PERSON1 isn't fragile at all, he loves his dad and so does she but she doesn't like him as a person. She likes my dad more than hers because she sees him more and she thinks hes nicer. In conclusion I think @PERSON2 and @PERSON1 are very patient because they don't know if they'll ever see him again after he gets on that plane, and I've asked their mom and she says they never complain about missing their dad.""",8,7,15,0.5
17870,7,"Long ago in the land of @LOCATION1 their was a young boy named @CAPS1.@CAPS1 wanted to become a ninja like the rest of the older boys but he was to young, he was only six the years old.One day @CAPS1 came running home,he wasn't just running he was fliping, twirling @CAPS1 was acting like fire work, @CAPS1 came bursting threw the door, and said mama mama im @CAPS2 old enough to be a ninga"" said @CAPS1, and kins mom said "" well, sorry you can't ninja training isn't till another six years""said kins mother, ""why now when I @CAPS2 turn twelve."" @CAPS1 replied ""well the sensai in still on his training, so you'll have to be patient"" so @CAPS1 waited six long years and @CAPS2 became a ninja""",12,7,19,0.6333333333333333
17871,7,"One in a land called @CAPS1 bokane there was a young named  @PERSON2. In the land of @CAPS2, all the people lived off the land. They believed that everything had a spirit, and when you died the spirit of judging decides what you will be in the next life. To the people of @CAPS2 honor was everythbing, and no person valued @CAPS6 more than the hunter @PERSON2. One day @PERSON2 and his friend @PERSON1 went into the sacred forest to hunt danes, a deer-like animal.  As they approached the hunting grounds, both men nocked their bows, and shimied up the trunk of an ancient oak. Both @PERSON2 and @PERSON1 waited for several hours before seeing a dane , and when they did, @PERSON1 had no arrow ready,@CAPS4 of this @PERSON2 got to kill @CAPS6. The dane looked at @PERSON2. @CAPS6 stared  at him. Unblinking pupils dialated. Snorting blue mist from its nose. Yet @PERSON2 did not take the shot. Instead the the dane fled into the treeline. @CAPS5 did you not take the shot?'' whispered @PERSON1. ""@CAPS6 was to far away my friend. I was not sure one arrow would kill @CAPS6 wiithout pain.'' @PERSON2 replied simply.The next day the pain returned to the woods and again a dane appeared. This time though @PERSON1 had an arrow ready,but @PERSON2 had rites to this dane as @CAPS6 was the same one from the day before. The dane's rear was toward the pair, and again @CAPS6 was stai ring at @PERSON2. @PERSON2 simply steped back. Soon @PERSON1 took the shot since @PERSON2 would not. The arrow flew high and impaled the obsidian tip into an ash tree. ""@CAPS5 did you not take the shot?'' whispered @PERSON1. ""@CAPS6 is not honorable to take the life of a beast with @CAPS6's back turned.'' @PERSON2 whispered back. On the third day the same dane stalked through the hunting grove of @PERSON2 and @LOCATION1. The dane walks through the grove from the left this time giving @PERSON2 a clear shot at its right flank.This shot @PERSON2 takes. The arrow flies tree and pierces the animals lungs and heart. ""@CAPS9 the spirit judge @CAPS10 will be pleased.'' @PERSON2 states as he corries his kill from the woods. In the end , patience rewards better than impatience. No matter the circumstances.""",12,12,24,0.8
17875,7,Their was a time when I was patient when I went to the barber shop and my family and I was going on a trip and I had to get my haircut the day before we left. I went to the barber shop was packed so the guy that cut my hair told me I was next in the chair. So then more and more people started coming in and he let those people jump in front of me so I just sat there and waitted. After those people were done he never call me up so he got on his phone and went outside. Then he told me wait until he came out the restroom then five more people came in so that's when my mom called my phone and asked me was I done because I been up their from @NUM1 to @NUM2 and she said go to some one else chair because was was about to go somewhere. I still needed to pick my stuff will be leaving at @NUM3 a.m the next morning.,7,5,12,0.4
17876,7,"One @DATE1 week a couple of years ago my grandparents were over. We went to my @ORGANIZATION1's sisters house and my @ORGANIZATION1 and aunt (my @ORGANIZATION1's sister) were going to teach me hoe to tie my shoes because I was going into kindergarten and the teacher wouldn't do it for you. They said if I learned to tie my shoes I would get to pick something out at the dollar store so that got me all excited! When we got their after I had lunch they began teaching me. The tirck they taught me went like this: after you have the first crossover step you make the bop(tree) and you put the other string around it (the bunny loving around the tree. @CAPS1 you put it through (the bunny darling in its hole.) @CAPS1 you're bond. After many tries was starting to get the hang of it. Later we went back to my house and my @ORGANIZATION1 kept helping me. Finally one afternoon I got it, my @ORGANIZATION1 was happy and she kept telling me good job. Later we went to the store and picked something out! My @ORGANIZATION1 had to be patient with me. She wasn't getting all mad when I kept messing up she just kept being encouraging and patient. My @ORGANIZATION1 was patient and it helped me learn faster.",8,11,19,0.6333333333333333
17880,7,"Swimming is a lot of fun. I enjoy feeling the cool water all around me. Patience is an important part of the swimming you have to be patient when waiting to start practice, stretching, waiting for instruction when learning a new stroke learning a new way to turn at the wall, ect. On the first day of swim team this year the coaches went through safety rules, regulations, and what we were going to do this year. For all the people who knew this stuff already, like me it wasn't very easy to be patient. But I personally think the entire team did a good job listening. Patience is important.",8,8,16,0.5333333333333333
17881,7,Patience what is it really? Do any of us have it? I think if we think about it we could all be patient. One time when I was in @LOCATION1 we went to @ORGANIZATION1 and we rod no wait for any of the rides. The next time we went there we had to be patient because the lines were really long. I could wait but it seemed like a lot of the little kids had a hard time standing still. Another example about patences is when the miners got stated in the mine in @LOCATION2 for @NUM1 days they had to be patient and wait for someone to rescue them. They also had to be patient when the were coming up from the mine in that little elevator thingy magig. One last example on patence is when you are walking in a group with other people you have to be patient and listen to there ideas and let them do some of the work. These I think are just some examples of why you have to be patient or when you have to be patient.,6,6,12,0.4
17887,7,"It was my first camping trip! Well, we went camping when I was one but I don't remenber a lot. I was super excited! So, I'm sorry if I could'nt help but wonder @CAPS1 the ? are we going! My patience was not very good. While I was waiting for my dad to hook the camper up to his truck I sat there very bored. I kept saying when are you going to be done? Or,when are we leaving? Everytime I got, just be patient hunny. So, I tried it wasn't really working.We finally left, it was an hour drive and when your seven thats a very long time. I had nothing to do, I was bored out of my mind! So, I said daddy when are we gonna be there?"" I got later, just be patient. So I followed demands and went along with his idea. Once we got there the first thing I wanted to do was swim. So as my mom was getting her swimsut  on. I was so impatient I looked like I had ants in my pots. I was going to go knock of the bathroom door but, I didn't I took what I had learnt earier and did it. I sat down and patiently waited for my mom. So throughout this I learned a big lesson on patience. If you are patient things will happen much faster. I still use this lesson today. But every one in a while everyone is a little impatient.""",10,10,20,0.6666666666666666
17891,7,"It had been about one??? after I got my ipod touch and I really wanted to get this certain??? no it was a movie. The movie was I @CAPS1 @CAPS2. I had already seen it once from my cousins ipod but it was so cool, I had to watch it again. It had so much action in it. And zombies??? attack. Multiple words @CAPS3",12,8,20,0.6666666666666666
17892,7,"I know I can I said to myself as I was getting ready to do a back walkover for the first time by myself. I bent backwards tried kicking over and feel! Errg! I stood back up and asked @PERSON1 my coach, @CAPS1 my shoulders right?"" @CAPS2 @CAPS1 your shoulder the kick over. ""@CAPS3 got it"" I said. As I bent backwards again I slowly raised my left leg to kick over, then I pushed my shoulders forward and I did it! I finally did it by myself! Later that night I showed my mom I could do it. So I did the same exact thing I did at practice. I did it again! But this time at home. The look on my mom face could never be replaced @CAPS4 was so proud of me. Then I @CAPS4 ran over and gave me a high five, then a big bear hug! So I said ""thank you for being so patient."" @CAPS4 said ""@CAPS5 for you baby.""""",9,8,17,0.5666666666666667
17893,7,@NUM1 years ago on my birthday the only thing I wanted was an I-pad touch. Well everybody got to the party we ate cake and ice cream then I opend presants. I got @NUM2 but none was the @CAPS1 toach. I was sad then I opend birthday cards and I got @MONEY1 I told mom since I didn't get the @CAPS1 I can go buy it. But I had too wait till everybody was gone to go get it. and @NUM3 hours of being patient I finally went and got it.,8,10,18,0.6
17897,7,"I was patient when my mom was giving  birth to my baby brother. We had to sit in the waiting room. My sister and I for @NUM1 hours I slept @NUM2 times and a lot because my dad was hungry so he got @CAPS1 food also.The first hour I was excited and couldn't wait. The second hour I was coloring with the crayons and paper the nurse brought to @CAPS1.The third hour I watched tv. The fourth hour I slept till about @TIME1 that's what my sister said. My dad came out with plastic looking dress on with the matching head/shower cover and slippers, and  he said  the next time he comes out my sister and  I were gonna be sister to a baby boy ."" @CAPS1 and sister were so happy. So an hour later my dad came out and said "" do you want to see @PERSON1 ,"" @CAPS1 and my sister screamed "" yes "" When we seen him we were so happy to think he was all ours .""",10,10,20,0.6666666666666666
17899,7,"@CAPS1! Look out!"" @CAPS2 squealed. The sound of crunching metal was deaffening. There was no way out. My eyes seemed sealed shut, but they were as wide as could be. T he eery silence frightened me. I felt arms grab me, pulling me to @CAPS9 they concidered safety. In no way, was this to be concidered safety, for this was the beginning of one living-nightmare. The living nightmare of my life. Here's a picture of @CAPS9 I saw: @CAPS3 cars, twisted, tangled and smushed so close together, they seemed as if they were one object. Lying beside me was a small boy. That boy was my brother, @ORGANIZATION1. His chest expands slowly, but as it does, excruciating sounds radiate from him. Blood triddes out from his many cuts. It's unbearable to watch. Ambulences' sirens wail as they approach. My father I have yet to see. And that's @CAPS9 scares me most. II still have nightmares of that night. The night everything changed. Not only had I lost my father and brother, but in someways, I'd lost my mother as @CAPS6. @CAPS5'd never understand the pain of watching your little brother die, all because of something you desired. If I hadn't made my father turn around to get my forgotten notebook, I'd still have a @CAPS1 and little @ORGANIZATION1. Ever since the funeral, I could feel my mother and I pulling apart. Nothing with us has been the same since. We fight constently, never listening to @CAPS9 the other has to say. Maybe it's just the life of a typical teen and her @CAPS8. I wouldn't know because in no way we we typical. When we aren't fighting about who- knows- @CAPS9, we just keep our distance. Sometimes, though, the silence is scarier, more heart pounding, than the shouting. Silence is just so freaking loud! My mother is beginning to attempt the seemingly impossible. @CAPS5 begins to try and understand my strange ways. ""@CAPS4"", @CAPS5 starts, ""I know I haven't been patient with you lately, and for that I'm sorry. I will try to be, starting now. I only ask you of one thing."" I give her a questioning, gaze, so @CAPS5 continues, ""I would like you to tell me why you blame yourself?"" @CAPS5 didn't have to explain any farther. ""@CAPS6, I made @CAPS1 turn around,"" my voice caught in my throat, ""just to get my stupid notebook."" A single tear weaved its way down my face. ""@CAPS7, hunny!"" my mother teared up as @CAPS6. ""That doesn't make it your fault! You had no idea it would end that way!"" I knew my patience had been worn through for a long time, but I refused to snap at my mother now. @CAPS5 was only trying to help. I fought my annoyed tone, which was battling its way out. But I was to win that fight. ""@CAPS8,"" I said, regaining composure, ""that's how I feel about the issue. I wish I could just take your word for it, and maybe overtime I will, but right now, I just need my @CAPS8."" @CAPS9 shocked me most was the smile that formed on my mother's lips. ""I will wait then."" And then @CAPS5 hugged me. @CAPS5 hugged me as @CAPS5 had when I was four and broke my leg. Tight and unhesitantly. I could feel the beginning of a new found relationship with my mother. Maybe not as strong as it had been, but definately there. With patience and time, it has bloomed into a healthy relationship, in which we both can enjoy and respect.""",12,12,24,0.8
17902,7,"There are many times when l've been patient but here are just a few. It was a late afternoon my family & I were supposed to go to a big function that day. Like always I didn't know what I was going to wear, about an hour later I found what I was going to wear. I went down stairs to the soon no one was ready & we only had @NUM1 1/@NUM1 an hour left. I was frustrated told everyone to go get ready, but nobody listened to me. But I didn't care so I went up to fore a shower right  when was as out to go in my mom come and told me I had to wait ??? She took a shower. Then one by one everyone took a shower except for me. I was loosing my patients. I still waited because I didn't want to start a commotion. Finally I went into take a shower. We were all dressed & ready to go. At the last minutes when we all got in the car, my sister for got her bag & jacket so we had to wait till she got it. We finally made it to the party, not on time but at least we made it. In conclusion, a few exam pies of me showing patients is when I waited to take a or over when in waited for my sister to got her lay a jacket.",8,9,17,0.5666666666666667
