essay_id_comp,full_text,holistic_essay_score,prompt_name,task
95BC127CB3A2,"Have you ever thought what it would be like not having to pay for gas everyday? Many residents in Vauban, Germany feel that going without a car was the best desicision they have ever made . The reason why they feel that way is because of this quote ""large garages at the edge of the development, where a car-owner buys a space, for $40,000, Along with a home."" This quote is basically saying that many residents in Germany would be spending over millions of dollars for a house and most of the money would be on one parking space that they necessarily dont need. To all you fellow citizens out there thinking if i should limit my car usage or just keeping driving in a car paying for gas everyday. From my poin of view I dont everybody needs a car. Some people just buy cars just to sdhow not knowing the reasons for having a car. Car use up alot of gas and cars pollute the air really badly. ""After days of near-record pollution, Paris enforced a partial driving ban to clear the air of the global city."" This quote is basically showing that many cars in Paris have been polluting the air making it hard for others to survive .    ",2,Car-free cities,Text dependent
288639E7060E,"What you are about to read is going to give you insight on the advantages and disadvantages there are when talking about limiting car usage. In the next few paragraphs and sentences I am going to state true facts about the advantages and disadvantages of limiting your forms of transportaion. I will also talk about not just the individual advantages and disadvantages, but I will also talk about how it could help or hurt, a community. Now strap down, let's click on those seat belts, and go for a ride, all puns intended.

I think it would probably be best if we started this paper off by talking about the disadvantages right off the bat. Now, the first one that I think everyone thought of right away would be that of, how could places like the United States of America, a country that is thousands of miles wide, convert to what is being proposed in these articles? Where I live now is on the ocean, so on the outskirts of our city, Ponce Inlet Florida, to be exact. If our county, Volusia, was to change to this ideal, then we would have to bike about 3 miles just to get to the bridge to get across the river back to main land. Another example would eb that where I used to live, Howard Suamico Wisconsin, there was a lot of land seperating my old house and the main drag of my town. In the summer, it wouldn't be that big of a deal to just take a bike and gon on a bike ride, but when it came around to it being winter I would probably want to take a car that had 4x4 wheel drive, if you catch my drift. I think that the disadvantages are painfully obvious when it comes to this system, but I could definetley see it working in large citites not unlike Chicago, New York, Los Angeles, and so on.

Now that we've finally gotten the disadvantages out of the way, we can talk about how this would help communitites all across the world become safer and cleaner. In the first article I read a quote that I thought was perfect for the advantages paragraph.

""When I had a car I was always tense. I'm much happer this way,""

(Paragraph 2, Lines 4-5) This really got my attention right from the get go because It made me think about our daily lives and how I feel when I'm behind the wheel. Im always stressed Im going to wreck my car! The other thing that caught my eye was when I read about the Columbian city of Bogota. In Bogota, they banned all motor vehicles except buses and taxis for a day. A businessman was quoted as saying

""It's a good opportunity to take away stress and lower air pollution,""

It seems that when the idea of outlawing all motor vehicles and having only bikes and your feet for transportation, people are a lot happier.

In conclusion, I would love to see less cars on the roads, and see more people switch to greener alternatives such as bikes, skateboards, feet, etc. I think it would also take care of the issue of obesity and pollution. The only thing that I find hard to believe is that we would just disband the use of cars all together. I think that we have built so many roads all over the place that finding another use for them would be hard. All in all however, I think this is a great idea. To have communities closer together which would form stronger community bonds and it would allow us to drastically reduce the amount of pollution we create each year.                    ",3,Car-free cities,Text dependent
DB781EC6153A,"cars have many flaws nd and in this day and age some are trying to get rid of them. in sime ways that could be the answer to our polution problem but cars or still too important to get rid of. limiting are car usage could be the answer. thats good cuz  it gets u time to exercise,decreases our polution problem,and gives us a chance to enjoy life better instead of speeding through life withy cars.

cars today is one of our leading problems of polution and global woarming. the decrease of car usage will help the enviorment. we fill our cars with deisel fuel wich make up 67percent in a city such as paris,france with a great population. after days of near record polution, paris enforced a partial driving ban to clear the air of the global city.

exercise is raelly good for your health. such as walking,riding a bike, or even jogging. anything instead of using a car maybe instead of taking your car to work how about walking to the nearest bus stop. instead of taking ur child to school let them ride the bike to school.    ",2,Car-free cities,Text dependent
85AEE9062D69,"Wouldnt it be great to hear that Just by citizens limiting car usage they are kind of making the world a better place? Instead of driving from place to place, they at the park, or taking a nice walk around town, or maybe even having a little fun ice skating. Its exciting to hear by just walking anywhere instead of taking a car or a motor vehicle, you are making the enviroment better. Also who doesn't love less traffic in the streets? Limiting car usage has so many advantages, you maybe just have to get out of your car to see it. Imagine walking down the street and hearing the swish of bicycles and the chatter of wandering children drown out the occasional sound of a distant motor.

In Vauban Germany, most streets are completely car free. Heidrun Walter said ""when i had a car i was always tense. Im much happier this way."" Passenger cars are responsible for twelve percent of greenhouse gas emissions in europe, and fifty percent in some car intensive areas in the Untied States. Polution is a huge problem, not only for us but for the enviroment. Just by limiting cars,you can reduce gas emissions. In the the passage it says that in the untied states, the enviromental protection agency is promoting ""car reduced"" communites, and legislators are starting to act, if cautiously.

Paris enforced a partial driving ban to clear the air of the global city. Almost four thousand drivers were fined, and they also had thier cars impounded due to some of thier reactions to the fine. large traffic went down in the capital of france after five days of intensifying smog. In the passage it says that cold nights and warm days caused the warmer layer of air to trap car emissions. They blamed deisel fuel because france has a tax policy that favors diesel over gasoline. All these car fumes and bad polution can cause many dangers and car usage has a big part in this problem. By limiting car usage, the smog in paris cleared enough on monday for the ruling french party to rescined the ban for odd numbered plates on Tuesday.

In another place, Bogota Colombia, it was the third straight year cars have been banned with only busses and taxis permitted for the day without cars in this capital city of seven million. They did this so they can reduce smog. The people who didnt follow the rules while this day was in progress, they faced twenty five dollor fines. this day can do good for many people and can give you many opportunitys that you havent got to do before. In the passage a businessman named carlos arturo plaza said ""it's a good opportunity to take away stress and lower air polution."" he said that while riding a two seat bicycle with his wife. the usage of cars is not always need, having a little fun wont hurt, taking a walk, going to the park is always a good thing. Even if it rains, that wont stop the people from participating in this day.

Car usage isnt the worst thing in the world but there are many advantages when you dont use them. Polution decreases, as well as smog. you have a day to enjoy the outside world. while you do that think of the gas emmisons you arent putting in the enviroment. People dont really notice it but polution has a big effect to global warming. Just by limiting your car usage, you can be doing a favor not only to you but the enviroment and the world. Now isnt that great to hear?    ",4,Car-free cities,Text dependent
D73D85780CE1,"Cars, the pride and joy of many people. They may look nice and go fast, but they hurt the environment more than most people would know. If Americans in certain places used public transit or walked, air pollution would go down by 50% in those areas. It would be better for the environment, and for the human body's health to reduce the amount they drive in their personal car.

To begin, cars are the second most cause of air pollution in the United States behind power plants. Since the end of World War II the U.S.A has been idolizing cars, and they have been focusing on the production of these cars. In Vauban, Germany there is a ratio of 3 to 10 people who own cars. Only 30% of the population owns a car, which is saving the air from quite a bit of pollution. Another event that will help lower pollution would be banning driving cars for a day or two. In Paris, there was so much smog that it was compared and even rivaled Beijing, China; which is one of the most polluted cities in the world. The people who drove their cars on this day would be fined $31 American dollars. The public transit was free of charge because it was being promoted to use, as it helps the air become less polluted. This event also happened in three Colombian cities, Bogota, Cali, and Valledupar. The ban on the cars made many people seem to be happier, and more energetic. This ban has been happening for three years now in Bogota, and other Latin American cities are now seeing the importance of it. The use of bicycles, the public transit, or even walking helps reduce air pollution in your city.

In addition to not using personal cars, walking from jobs or to the mall has seemed to make many people in these driving bans less stressful and much happier. From government officials to the commonfolk of the street, all of the Colombians in Bogota look much happier. Even rain hasn't stopped them from biking to work. One woman in Vauban, Heidrun Walter, said, ""When I had a car I was always tense. I'm much happier this way."" She does not own a car and lives a happy life. She even sold her car to move here, along with 57% of other families who live in the town. Not only does the relaxation of not driving make you less stressful, it also makes you get more excersize. Since 70% of Vauban's families do not own cars, we can assume that they are one of the healthiest cities in Germany or even the world. If all cities in Europe were nearly identical to Vauban then they would have only 3% greenhouse gas emissions from cars, but they would also have a much lower rate of obesity. Even in some parts of the United States, car emissions would go down by 50% which would, in turn, cause obesity to go down by a gigantic number as well. The use of bicycles and your feet would greatly reduce obesity along with increasing happiness.

Although some people may argue that people who don't own personal cars will use public transit instead and societies without personal cars will not have a decreased obesity. This may be true, but if people use public transit then they are helping the environment even more than themselves. They would still have to walk to and from the bus stops. Which will decrease obesity although it may not be in as big of numbers as we would like.

In conclusion the absence of personal automobiles would greatly reduce the air pollution in most major cities. Beijing could become it's once beautiful city, and Paris wouldn't have to ban driving because of thickened smog. The United States would also never have problems with smog, and we would also reduce air pollution by 50%. Communities like Vauban and Bogota are prime examples of people who do not need cars to survive. They are stress free, and much happier than most car driven societies. Personal cars do much more harm, than good. This is why we do not need to rely on the use of personal cars.    ",5,Car-free cities,Text dependent
CFF8F67F1D50,"Have you ever walked a certain number of miles in order to get where you needed to go? In Germany, 70% of families don't own a car and walk to get where they need to go.

In Vauban, Germany, Residents of this upscale community are suburban pioneers, going where few soccer moms or commuting executives have ever gone before: they have given up their cars. (Source 1) Most of Vauban's familes do not own cars and almost 60% sold a car to move to Germany. ""When I had a car I was always tense. I'm much happier this way"" said Heidrun Walter, a media trainer and a mother of two. Ms. Walter loved to walk the verdant streets and hear the swish of bikes and the noise of young children playing around. It always drowned out the occasional distant motor of the cars coming form wherever. People are trying to reduce the car usage in the United States as well. In the United States. the Enviromental Protection Agency is promoting ""car reduced"" communities, and legislators are starting to act, if cautiously. (Source 1) In America, recent studies shows that Americans are buying fewer cars, driving less, and getting fewer licenses as each year goes by. Researchers think Americans don't want to drive anymore. The number of miles drivien un the United States got to its highest in 2005 and ever since than it number has decreased tremendously. As of April 2013, the number of miles driven per person was nearly 9 percent below the peak and equal to where the country was in january 1995. (Source 4) Part of the reason the American car percentage is decreasing is becuase the recession and the number of unemployed people we have in the U.S. We can't afford new cars so thats also some of the reasoning behind the usage of cars decreasing in the U.S.

One day in Paris,there was a enforced partial driving ban to clear the air of global city. Citizens of Paris we're not allowed to drive their cars and we're ordered to leave this motor vehicles at home or suffer a 22-euro fine 9 ($31). almost 4,000 driviers were fined and 27 people had their cars towed for their reaction to the fine. diesal fuel was blamed since france, compared to a 53.3% average of diesel engines in the rest of Western Europe. Delivery companies complained on how they couldnt do their job while plug-in cars, hybrids, and cars carrying three or more passengers were excused. Public transit was free of charge for three days. The smog was cleared enough Monday for the ruling French party to rescind the ban for odd-numbered plates on Tuesday. (Source 3) Bogota, Colombia has made a holiday out of the ban for cars. Every year for one day people cannot use their motor vehicles. Buses and taxis were the only motor vehicle permitted. Violators faced a $25 fine if the rules were broken. This has been the third year the holiday ""Day Without Cars"" has effectively taken place. ""Its a good opportunity to take away stress and lower air pollution"", said business Carlos Arturo Plaza as he rode a two-seat bicycles with his wife.

In conclusion, cars have a great use in this world but i think we would be better off without cars. In different countries there is a even or a holiday where it is illegal to use cars. It would be very efficent to have a day for no cars in the United States. It would show people the importance on walking and not to rely on their car to get them places.    ",2,Car-free cities,Text dependent
84BE3FFF6CD0,"Cars. Cars have been around since they became famous in the 1900s, when Henry Ford created and built the first Model-T. Cars have played a major role in our every day lives since then. But now, people are starting to question if limiting car usage would be a good thing. To me, limiting the use of cars might be a good thing to do.

In like matter of this, article, ""In German Suburb, Life Goes On Without Cars,"" by Elizabeth Rosenthal states, how automobiles are the linchpin of suburbs, where middle class families from either Shanghai or Chicago tend to make their homes. Experts say how this is a huge impediment to current efforts to reduce greenhouse gas emissions from tailpipes. Passenger cars are responsible for 12 percent of greenhouse gas emissions in Europe...and up to 50 percent in some car-intensive areas in the United States. Cars are the main reason for the greenhouse gas emissions because of a lot of people driving them around all the time getting where they need to go. Article, ""Paris bans driving due to smog,"" by Robert Duffer says, how Paris, after days of near-record pollution, enforced a partial driving ban to clear the air of the global city. It also says, how on Monday, motorist with even-numbered license plates were ordered to leave their cars at home or be fined a 22-euro fine ($31). The same order would be applied to odd-numbered plates the following day. Cars are the reason for polluting entire cities like Paris. This shows how bad cars can be because, of all the pollution that they can cause to an entire city.

Likewise, in the article, ""Car-free day is spinning into a big hit in Bogota,"" by Andrew Selsky says, how programs that's set to spread to other countries, millions of Columbians hiked, biked, skated, or took the bus to work during a car-free day, leaving streets of this capital city eerily deviod of traffic jams. It was the third straight year cars have been banned with only buses and taxis permitted for the Day Without Cars in the capital city of 7 million. People like the idea of having car-free days because, it allows them to lesson the pollution that cars put out of their exaust from people driving all the time. The article also tells how parks and sports centers have bustled throughout the city; uneven, pitted sidewalks have been replaced by broad, smooth sidewalks; rush-hour restrictions have dramatically cut traffic; and new restaurants and upscale shopping districts have cropped up. Having no cars has been good for the country of Columbia because, it has aloud them to repair things that have needed repairs for a long time, traffic jams have gone down, and restaurants and shopping districts have popped up, all due to the fact of having less cars around.

In conclusion, the use of less cars and having car-free days, have had a big impact on the environment of cities because, it is cutting down the air pollution that the cars have majorly polluted, it has aloud countries like Columbia to repair sidewalks, and cut down traffic jams. Limiting the use of cars would be a good thing for America. So we should limit the use of cars by maybe riding a bike, or maybe walking somewhere that isn't that far from you and doesn't need the use of a car to get you there. To me, limiting the use of cars might be a good thing to do. So, who's with me?    ",4,Car-free cities,Text dependent
1FF23E154F08,"To some people the limit of car use is very important to them, because they want to stop pollution or things. In the city of Vauban, Germany they do not use cars because, to start off with to even park a car you would have to pay $40,000 plus the price of your house to be able to park it at a parking garage. The city has worked for two decades to make Vauban, Germany better for walking. Which made Vauban home to 5,500 residents within a rectangular square mile. This made people all around the world consider to reduce car use, in America the Environmental Protection Agency is promoting ""car reduced"" communities.

Other countries strictly rely on car reducing to take down the amount of polltuion in the air. Paris days after a near-record pollution forced car reduction to everyone. Almost 4,000 drivers were fined, and many had their cars impounded. People in the capital city of France were starting to get sick and get congestion because of all of the smog, and pollution from cars. For Paris to have car reduction they had to ban any cars with odd numbered license plates from driving for a certain period of time. After all of the pollution in the air had cleared enough they had a party for the people with odd numbered license plates to drive again.

In another occasion of car reduction Bogota, columbia had a car reduced day where people would hike, bike, skate, and take buses to work. They as well used this chance to clear pollution of the air and some people didn't mind it, they had a chance of a stress free day and the ability to lower air population. Any violators who chose to drive a car would be issued a $25 fine. Other countries who did not have car reduced days liked the idea of it, and thought they were generating a ""revelutionary change"". Due to these car reduced days parks and sports centers have been an uprise. The days without cars is a campaign that began in Bogota in the mid-1990s.

In the United States of America government officials have talked about car reducing, but have never passed it. In 2005 the miles driven in America had peaked, and dropped steadily after. Michael Sivak said, ""What most intrigues me is that rates of car ownership per household and per person started to come down two to three years before the downturn"". Bill Ford owner of For Motor proposed partnering with the telecommunications industry to create cities in which ""pedestrian, bicycle, private cars, commercial and public transportation traffic are woven into a connected network to save time, conserve resources, lower emissions and improve safety.    ",3,Car-free cities,Text dependent
EC4EDAC13543,"Limiting car usage has many advantages. Such as putting a lot less pollution in the air and having your stress level go down letting you spend time with your family and friends. When we put pollution in the air it ruins our beautiful ecosystem. When driving a car you have to stress about how much gas you have or you stress about if you are going over the speed limit.

The first advantage to not having cars is we limit the amount of pollution in the air. Did you know that in Europe you cause up to twelve percent of its greenhouse gas, and in the US you cause up to fifty percent of that gas, that just goes in the air causing the air that we breath to become polluted. Some ways to prevent this is to car-pool with someone or just to walk there and not drive, you get to help the envirnment and you get your daily workout as well. Some countries have taking the role of taxing anyone who wants to use a car. Like in France, who has a tax policy that makes people choose diesel intead of regular gasoline. France has over sixty-seven percent of cars that run on diesel fuel. Paris has banned the use of cars do to the huge amount of smog they are having.

The second advantage for limiting the usage of cars is lowering your stress level and being able to spend time with family and friends. To help with this some countries have programs that provide people with bikes and other forms of transportation in order for people to get to work. When people don't drive cars and walk with their kids to drop them off at school then go to work it keeps the traffic and all the stress that comes with it down to an all time low. When summer time comes around teens can organize what they do and who they hang out with based on where they are and how far they want to walk to get there.

So limiting the usage of cars has many significant advantages like less pollution and being able to spend time with family and friends while lowering your stress level. So before you get in your car and drive to wherever you are going just take a second and think, can I walk there instead.    ",4,Car-free cities,Text dependent
FB7E9462C5A1,"Many people use cars every single day. Whether it's to go to school, work, a friends, to the store, or even go to an after school activity. A lot of people in other countries such as germany and Paris have given up their cars or vehicles completely.

First off, places have taken away the ability to park. ""street parking, driveways and home garages are generally forbidden in this experimental new district""(S1P2). This quote shows that they have taken away the right to park in certain places. ""there are only two places to park large garages at the edge of the development, where a car owner buys a space, for $40,000, along with a home""(S1P2). This quote shows how they are limiting areas to park so not many people buy cars.

Second off, Motorized vehicles are causing a lot of smog. ""Congestion was down 60 percent in the capital of France, after five-days of intesifying smog""(S2P14). This quote shows that the smog is building up because of cars. ""motorists with even numbered license plates were ordered to leave their cars at home or suffer a 22 euro fine""(S2P11). This quote shows that they weren't kidding about no more cars. The cars were causing harm to the beautiful city.

A lot of places today are getting rid of cars. Without cars they can get the natural beauty of the city back instead of it being smokey and gross all day. Eventually it will be like that, but this is a hard transition for people who drive to work or go to school. Its a big change that some places in the world are willing to take.             ",2,Car-free cities,Text dependent
