,length,frequency
0,430,28
1,211,45
2,349,33
3,335,30
4,210,39
5,433,33
6,384,41
7,345,41
8,206,25
9,401,38
10,241,39
11,447,36
12,313,41
13,413,36
14,469,29
15,237,50
16,213,36
17,247,37
18,346,30
19,443,20
20,194,31
21,425,22
22,300,42
23,327,41
24,255,32
25,220,41
26,154,16
27,303,39
28,186,38
29,344,34
30,252,38
31,592,13
32,333,35
33,172,20
34,231,26
35,320,46
36,171,27
37,286,40
38,420,33
39,543,24
40,370,36
41,438,28
42,361,30
43,427,25
44,174,28
45,315,40
46,203,33
47,491,22
48,191,36
49,340,49
50,504,16
51,531,14
52,308,44
53,217,37
54,392,32
55,471,25
56,446,22
57,316,36
58,176,32
59,271,40
60,408,41
61,386,26
62,426,36
63,314,21
64,233,31
65,445,26
66,405,30
67,259,32
68,646,10
69,520,18
70,269,32
71,245,40
72,239,40
73,219,30
74,270,40
75,342,43
76,608,18
77,257,37
78,630,5
79,301,29
80,297,27
81,353,30
82,498,17
83,359,38
84,193,34
85,262,51
86,238,34
87,216,36
88,244,25
89,416,25
90,197,30
91,248,29
92,204,27
93,422,16
94,459,35
95,461,23
96,589,18
97,235,37
98,159,26
99,410,21
100,243,29
101,429,31
102,227,39
103,281,38
104,183,37
105,356,35
106,415,33
107,480,32
108,402,35
109,322,48
110,436,22
111,783,8
112,304,41
113,339,34
114,508,22
115,638,10
116,226,34
117,481,25
118,472,43
119,236,33
120,398,33
121,350,38
122,162,25
123,465,38
124,309,37
125,369,27
126,331,39
127,388,37
128,497,16
129,474,25
130,198,37
131,683,5
132,452,35
133,523,25
134,199,35
135,285,38
136,296,31
137,355,25
138,516,16
139,157,24
140,628,12
141,182,27
142,228,30
143,390,41
144,292,40
145,179,30
146,404,31
147,185,44
148,326,31
149,310,32
150,533,16
151,284,30
152,295,35
153,318,46
154,218,29
155,394,23
156,149,6
157,205,35
158,161,28
159,274,39
160,169,31
161,283,24
162,173,43
163,399,33
164,400,35
165,329,34
166,439,38
167,393,29
168,277,33
169,265,42
170,362,46
171,250,38
172,212,42
173,502,21
174,501,26
175,417,25
176,178,29
177,311,39
178,180,32
179,155,22
180,525,21
181,192,37
182,225,39
183,423,38
184,562,18
185,432,33
186,152,17
187,424,34
188,616,10
189,160,23
190,290,34
191,511,20
192,366,42
193,343,22
194,272,47
195,267,26
196,256,39
197,268,34
198,494,21
199,319,33
200,209,35
201,208,35
202,158,20
203,645,11
204,599,7
205,483,24
206,711,7
207,261,32
208,486,25
209,170,27
210,240,34
211,467,33
212,357,33
213,375,41
214,391,34
215,249,38
216,707,8
217,882,5
218,289,31
219,507,20
220,521,26
221,496,22
222,5899,1
223,251,31
224,636,10
225,739,8
226,177,22
227,163,24
228,294,34
229,166,20
230,650,12
231,229,31
232,184,22
233,307,36
234,264,32
235,363,30
236,621,17
237,453,28
238,365,37
239,457,29
240,551,10
241,506,20
242,312,30
243,623,13
244,221,33
245,175,23
246,458,30
247,380,31
248,790,1
249,195,30
250,258,34
251,279,39
252,509,14
253,253,44
254,323,49
255,351,41
256,510,20
257,372,42
258,761,4
259,770,5
260,371,24
261,230,37
262,527,24
263,419,24
264,585,10
265,293,44
266,187,28
267,542,20
268,407,23
269,383,42
270,685,9
271,395,21
272,918,2
273,246,35
274,280,35
275,215,32
276,201,42
277,325,39
278,273,22
279,242,30
280,321,47
281,287,39
282,546,16
283,577,12
284,470,29
285,663,9
286,341,34
287,330,35
288,595,18
289,354,42
290,605,17
291,214,40
292,368,31
293,324,33
294,332,40
295,476,27
296,196,34
297,202,32
298,358,34
299,278,45
300,364,39
301,687,12
302,517,19
303,569,16
304,748,7
305,455,22
306,254,42
307,260,45
308,571,12
309,222,47
310,444,20
311,697,12
312,441,27
313,232,31
314,234,32
315,564,17
316,489,24
317,305,48
318,421,28
319,460,29
320,224,39
321,411,29
322,150,9
323,456,20
324,513,21
325,378,34
